Type,External Database,VOC,dvap,SMILES,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Kappa1,Kappa2,Kappa3,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9
Organic oxygen compounds,NO,YES,19.3,COC,1.632993162,2.754887502,2.707106781,2.40824829,2.40824829,1.414213562,0.816496581,0.816496581,0.40824829,0.40824829,0,0,0,0,0,0,0,0,0,0,0,14.21959508,0,4.736862954,0,-0.04,3,40.021,2.96,1.96,1.96,4.25,0.387928346,4.25,0.035078372,1.625,0.035078372,1.625,-0.387928346,0.2626,12.933,46.069,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,20,4.736862954,0,0,0,0,0,0,0,0,0,0,0,14.21959508,0,4.736862954,0,0,0,0,0,14.21959508,0,0,0,0,0,0,0,14.21959508,4.736862954,0,0,0,0,0,0,9.23,4.25,0,0,0,0,0,0,0,0,3.25
Hydrocarbons,NO,YES,19.99,CC(C)C,2.323790008,4.754887502,3.577350269,3.577350269,3.577350269,1.732050808,1.732050808,1.732050808,1.732050808,1.732050808,0,0,0,0,0,0,0,0,0,5.917906046,0,0,0,20.7712116,0,0,4,48.044,4,1.333333333,0,2.166666667,0.063037254,2.166666667,-0.049986081,0.833333333,0.049986081,0.833333333,-0.063037254,1.6623,20.512,58.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,20.7712116,5.917906046,0,0,0,0,0,0,5.917906046,20.7712116,0,0,0,0,0,0,0,0,0,0,5.917906046,20.7712116,0,0,0,0,0,0,0,0,0,0,0.833333333,0,0,6.5,0
Organohalogen compounds,NO,YES,20.5,CCl,1,2,2,1.377964473,2.133893419,1,0.377964473,1.133893419,0,0,0,0,0,0,0,0,0,0,0,0,6.382919022,0,0,11.60093989,0,0.29,2,47.464,2.29,1.29,1.738275862,4.638888889,0.130430634,4.638888889,0.010839186,1.472222222,0.010839186,1.472222222,-0.130430634,0.855,11.777,50.488,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,11.60093989,0,0,6.382919022,0,0,11.60093989,0,0,0,0,6.382919022,0,0,0,0,0,0,11.60093989,6.382919022,0,0,0,0,0,0,0,0,0,4.638888889,0,0,0,0,0,1.472222222,0,0
Hydrocarbons,NO,NO,20.6,C=C(C)C,2.803039488,23.01955001,3.577350269,3.207106781,3.207106781,1.732050808,1.353553391,1.353553391,1.207106781,1.207106781,0,0,0,0,0,0,0,0,0,0,5.57310453,0,13.8474744,6.578935684,0,-0.26,4,48.044,3.74,1.104963504,14.09502959,3.555555556,0.100419849,3.555555556,-0.044481419,1.166666667,0.044481419,1.166666667,-0.100419849,1.5824,20.488,56.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,6.578935684,5.57310453,13.8474744,0,0,0,0,0,0,0,13.8474744,0,12.15204021,0,0,0,0,0,0,0,0,0,13.8474744,12.15204021,0,0,0,0,0,0,0,0,1.166666667,0,0,0,7.5,0
Hydrocarbons,NO,YES,20.88,C=CCC,2.296835262,14,3.414213562,2.991563832,2.991563832,1.914213562,1.523603362,1.523603362,0.696923425,0.696923425,0.288675135,0.288675135,0,0,0,0,0,0,0,6.420821623,0,0,6.076020107,13.50267288,0,-0.26,4,48.044,3.74,2.74,1.74,3.479166667,0.103093227,3.479166667,-0.038200394,1.083333333,0.038200394,1.083333333,-0.103093227,1.5824,20.488,56.108,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,6.578935684,12.99975731,6.420821623,0,0,0,0,0,0,0,13.34455882,0,12.65495579,0,0,0,0,0,0,0,0,0,13.34455882,12.65495579,0,0,0,0,0,0,0,0,0,0,0,2.958333333,5.541666667,0
Organohalogen compounds,NO,YES,21,C=CCl,2.187496097,10.26466251,2.707106781,1.662421523,2.418350469,1.414213562,0.626466181,1.062901961,0.15430335,0.46291005,0,0,0,0,0,0,0,0,0,0,5.535201929,0,0,6.578935684,11.60093989,0.03,3,59.475,3.03,2.03,2.03,4.762345679,0.093597916,4.762345679,-0.002959409,1.222222222,0.002959409,1.222222222,-0.093597916,1.3687,16.05,62.499,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,18.17987557,5.535201929,0,0,0,11.60093989,0,0,0,0,0,12.11413761,0,0,0,0,0,11.60093989,0,0,0,0,12.11413761,0,0,0,0,0,4.762345679,0,0,1.222222222,0,0,0,3.12654321,0
Hydrocarbons,NO,YES,21.47,C=CC=C,2.732050808,21.01955001,3.414213562,2.568914101,2.568914101,1.914213562,1.149829914,1.149829914,0.471404521,0.471404521,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,12.15204021,0,13.15787137,0,-0.52,4,48.044,3.48,2.48,1.48,3.361111111,0.099086737,3.361111111,-0.070082308,1.638888889,0.070082308,1.638888889,-0.099086737,1.3584,20.394,54.092,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0,25.30991158,0,0,0,0,0,0,0,0,0,0,25.30991158,0,0,0,0,0,0,0,0,0,0,25.30991158,0,0,0,0,0,0,0,0,0,0,0,3.277777778,6.722222222,0
Hydrocarbons,NO,YES,22.39,CC(C)(C)C,3.023715784,15.509775,4.5,4.5,4.5,2,2,2,3,3,0,0,0,0,0,0,0,0,5.414990469,0,0,0,0,27.6949488,0,0,5,60.055,5,1,0,2.1875,0.060438148,2.1875,-0.041101548,0.5,0.041101548,0.5,-0.060438148,2.0524,25.129,72.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,27.6949488,5.414990469,0,0,0,0,0,0,5.414990469,27.6949488,0,0,0,0,0,0,0,0,0,0,5.414990469,27.6949488,0,0,0,0,0,0,0,0,0,0.5,0,0,0,8.75,0
Hydrocarbons,NO,YES,22.4,CCCC,1.974744871,2,3.414213562,3.414213562,3.414213562,1.914213562,1.914213562,1.914213562,1,1,0.5,0.5,0,0,0,0,0,0,0,0,12.84164325,0,0,13.8474744,0,0,4,48.044,4,3,2,2.180555556,0.065392443,2.180555556,-0.05643437,1.319444444,0.05643437,1.319444444,-0.065392443,1.8064,20.582,58.124,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,26.68911765,0,0,0,0,0,0,0,0,26.68911765,0,0,0,0,0,0,0,0,0,0,0,26.68911765,0,0,0,0,0,0,0,0,0,0,0,0,2.638888889,4.361111111,0
Hydrocarbons,NO,NO,22.7,C/C=C\C,2.549193338,15.21928095,3.414213562,3.154700538,3.154700538,1.914213562,1.488033872,1.488033872,0.666666667,0.666666667,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,25.99951461,0,0,-0.26,4,48.044,3.74,2.74,1.74,2,0.091942112,2,-0.047001923,2,0.047001923,2,-0.091942112,1.5824,20.488,56.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,12.15204021,13.8474744,0,0,0,0,0,0,0,13.8474744,0,12.15204021,0,0,0,0,0,0,0,0,0,13.8474744,12.15204021,0,0,0,0,0,0,0,0,0,0,0,4,4,0
