VSA,Electronic,Structural
VSA_EState3,MolMR,BalabanJ
SlogP_VSA5,MinEStateIndex,BertzCT
VSA_EState7,MinAbsEStateIndex,Chi0
SMR_VSA5,MinPartialCharge,Chi0n
VSA_EState8,MaxPartialCharge,Chi0v
PEOE_VSA6,MaxAbsEStateIndex,Chi1
PEOE_VSA1,MaxAbsPartialCharge,Chi1n
VSA_EState1,MaxEStateIndex,Chi1v
VSA_EState2,MinAbsPartialCharge,Chi2n
SMR_VSA10,,Chi2v
EState_VSA5,,Chi3n
PEOE_VSA8,,Chi3v
SlogP_VSA10,,Chi4n
SMR_VSA1,,Chi4v
VSA_EState5,,HallKierAlpha
SlogP_VSA2,,HeavyAtomCount
PEOE_VSA14,,HeavyAtomMolWt
EState_VSA9,,Kappa1
PEOE_VSA4,,Kappa2
EState_VSA1,,Kappa3
SMR_VSA3,,MolLogP
VSA_EState6,,MolWt
EState_VSA8,,NHOHCount
EState_VSA2,,NOCount
SMR_VSA7,,NumAliphaticCarbocycles
SMR_VSA6,,NumAliphaticHeterocycles
PEOE_VSA12,,NumAliphaticRings
SlogP_VSA3,,NumAromaticCarbocycles
SlogP_VSA6,,NumAromaticHeterocycles
EState_VSA4,,NumAromaticRings
PEOE_VSA2,,NumHAcceptors
SlogP_VSA4,,NumHDonors
EState_VSA3,,NumHeteroatoms
VSA_EState4,,NumRadicalElectrons
EState_VSA10,,NumRotatableBonds
SMR_VSA4,,NumSaturatedCarbocycles
PEOE_VSA3,,NumSaturatedHeterocycles
VSA_EState10,,NumSaturatedRings
EState_VSA6,,NumValenceElectrons
PEOE_VSA9,,
PEOE_VSA7,,
EState_VSA7,,
SlogP_VSA12,,
PEOE_VSA10,,
VSA_EState9,,
SlogP_VSA1,,
PEOE_VSA11,,
PEOE_VSA13,,
SMR_VSA9,,
SlogP_VSA8,,
SlogP_VSA11,,
PEOE_VSA5,,
SlogP_VSA7,,
SMR_VSA2,,
EState_VSA11,,
SMR_VSA8,,
SlogP_VSA9,,
TPSA,,
